Job,Company,City,Country,Company Link,Job Link,Job Category,Date
Product Manager for Solar Appliances,BBOXX ,Kigali,RW,http://bboxx.com,https://ihub.co.ke/jobs/view/5001/product-manager-for-solar-appliances,Manager,5th Feb 2020
Product Manager for Solar Appliances,BBOXX ,Kigali,RW,http://bboxx.com,https://ihub.co.ke/jobs/view/5001/product-manager-for-solar-appliances,Manager,5th Feb 2020
Business Transformation Associate,One Acre Fund ,Kigali,RW,#,https://ihub.co.ke/jobs/view/5000/business-transformation-associate,Developer,4th Feb 2020
Business Transformation Associate,One Acre Fund ,Kigali,RW,#,https://ihub.co.ke/jobs/view/5000/business-transformation-associate,Developer,4th Feb 2020
SOFTWARE DEVELOPER,BRCK ,Nairobi,KE,http://https://www.brck.com/,https://ihub.co.ke/jobs/view/4996/software-developer,Developer,4th Feb 2020
SOFTWARE DEVELOPER,BRCK ,Nairobi,KE,http://https://www.brck.com/,https://ihub.co.ke/jobs/view/4996/software-developer,Developer,4th Feb 2020
Embedded Systems Engineer,BRCK ,Nairobi,KE,http://https://www.brck.com/,https://ihub.co.ke/jobs/view/4997/embedded-systems-engineer,Developer,4th Feb 2020
Embedded Systems Engineer,BRCK ,Nairobi,KE,http://https://www.brck.com/,https://ihub.co.ke/jobs/view/4997/embedded-systems-engineer,Developer,4th Feb 2020
Lead Quality Assurance(QA) Engineer,BRCK ,Nairobi,KE,http://https://www.brck.com/,https://ihub.co.ke/jobs/view/4998/lead-quality-assurance-qa-engineer,Technical Lead,4th Feb 2020
Lead Quality Assurance(QA) Engineer,BRCK ,Nairobi,KE,http://https://www.brck.com/,https://ihub.co.ke/jobs/view/4998/lead-quality-assurance-qa-engineer,Technical Lead,4th Feb 2020
IT/Salesforce Systems Administrator (Re-Advertisement),BIDHAA SASA ,Nairobi,KE,http://bidhaa@co.ke,https://ihub.co.ke/jobs/view/4995/it-salesforce-systems-administrator-re-advertisement,Other,4th Feb 2020
IT/Salesforce Systems Administrator (Re-Advertisement),BIDHAA SASA ,Nairobi,KE,http://bidhaa@co.ke,https://ihub.co.ke/jobs/view/4995/it-salesforce-systems-administrator-re-advertisement,Other,4th Feb 2020
TaroWorks Consultant,TaroWorks ,Nairobi,KE,http://www.taroworks.org,https://ihub.co.ke/jobs/view/4135/taroworks-consultant,Other,24th Sep 2017
TaroWorks Consultant,TaroWorks ,Nairobi,KE,http://www.taroworks.org,https://ihub.co.ke/jobs/view/4135/taroworks-consultant,Other,24th Sep 2017
Senior Product Designer,Ushahidi ,,,http://ushahidi.org,https://ihub.co.ke/jobs/view/4994/senior-product-designer,Designer,3rd Feb 2020
Senior Product Designer,Ushahidi ,,,http://ushahidi.org,https://ihub.co.ke/jobs/view/4994/senior-product-designer,Designer,3rd Feb 2020
"Programme Manager, Incubation",iHub Limited ,Nairobi,KE,http://https://cchubnigeria.com/,https://ihub.co.ke/jobs/view/4991/programme-manager-incubation,Manager,31st Jan 2020
"Programme Manager, Incubation",iHub Limited ,Nairobi,KE,http://https://cchubnigeria.com/,https://ihub.co.ke/jobs/view/4991/programme-manager-incubation,Manager,31st Jan 2020
Software Quality Assurance Engineer,One Acre Fund ,Kigali,RW,#,https://ihub.co.ke/jobs/view/4989/software-quality-assurance-engineer,Other,29th Jan 2020
Software Quality Assurance Engineer,One Acre Fund ,Kigali,RW,#,https://ihub.co.ke/jobs/view/4989/software-quality-assurance-engineer,Other,29th Jan 2020
Integrations Developer,Tracom Services Ltd ,Nairobi,KE,http://www.tracom.co.ke,https://ihub.co.ke/jobs/view/4988/integrations-developer,Developer,29th Jan 2020
Integrations Developer,Tracom Services Ltd ,Nairobi,KE,http://www.tracom.co.ke,https://ihub.co.ke/jobs/view/4988/integrations-developer,Developer,29th Jan 2020
Hardware Quality Assurance Analyst,Savannah Tracking LTD ,Kilifi,KE,http://www.savannahtracking.com,https://ihub.co.ke/jobs/view/4984/hardware-quality-assurance-analyst,Other,28th Jan 2020
Hardware Quality Assurance Analyst,Savannah Tracking LTD ,Kilifi,KE,http://www.savannahtracking.com,https://ihub.co.ke/jobs/view/4984/hardware-quality-assurance-analyst,Other,28th Jan 2020
