Company,Link,Logo,Pitch,Joined,Location,Market,Website,Employees,Stage,Funding Raised
Mobius Motors,https://angel.co/company/mobius-motors,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/495-16d860461fb367c88b50e1d2929a8610-medium_jpg.jpg?buster=1411590214",Cars Built for Africa,Sep ’10,Nairobi,Transportation,mobiusmotors.com,,Seed,-
Angaza,https://angel.co/company/angaza-design,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/832-863c82e6f1275b18921ea9d07f8bc4ad-medium_jpg.jpg?buster=1505165050",Software for selling life-changing products in underserved markets,Oct ’10,San Francisco,Emerging Markets,angaza.com,51-200,Series B,"$14,500,000"
Kopo Kopo,https://angel.co/company/kopo-kopo,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1745-17f4d3a0b5ec80c54ce32a18440d355b-medium_jpg.jpg?buster=1315770409",We make it possible for any business to accept mobile money payments,Jan ’11,Nairobi,Mobile Commerce,kopokopo.com,-,Series A,"$4,549,845"
Tala,https://angel.co/company/talamobile,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/24322-99810a874bee29a5f577d9d6ab67a120-medium_jpg.jpg?buster=1495730567",Modern credit for a mobile world,Sep ’11,Nairobi,Personal Finance,tala.co,201-500,Series C,"$107,400,000"
Bridge International Academies,https://angel.co/company/bridge-international-academies,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/78490-602a7a7850ea44112a185e3716355346-medium_jpg.jpg?buster=1370255571",,Mar ’12,Nairobi,Education,bridgeinternationalacademies.com,-,Series D,"$6,000,000"
Eneza Education,https://angel.co/company/eneza-education,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/82122-7379f8e3eacad96b71c7b38c6592e803-medium_jpg.jpg?buster=1377781340",Mobile Education in Africa,Apr ’12,Nairobi,Technology,enezaeducation.com,11-50,Seed,"$700,000"
Musha Ventures,https://angel.co/company/musha-ventures,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/84280-35f0591fd42904a7df07412f666e1b72-medium_jpg.jpg?buster=1548954510",Global early stage technology investments,Jul ’14,Nairobi,East Africa,mushaventures.com,-,-,-
Duma Works,https://angel.co/company/duma-works,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/85725-28a7d1f49acc50f5aa070aa88f8a673d-medium_jpg.jpg?buster=1398692647",The Future of Hiring in Emerging Markets,Apr ’12,Nairobi,Social Recruiting,dumaworks.com,1-10,Seed,"$70,000"
Savannah Fund,https://angel.co/company/savannah-fund,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/93305-545a33e87fd60a490e3a1a81a6c00e34-medium_jpg.jpg?buster=1338200922",Subsaharan Africa Technology Seed Fund & Accelerator with strong links to Silicon Valley,Jun ’12,Nairobi,Clean Technology IT,savannah.vc,1-10,-,-
Lumeter Networks,https://angel.co/company/lumeter-networks,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/121279-70c25e21a0855bcbedb68e87dd095177-medium_jpg.jpg?buster=1466116198",Pay-as-you-go off-grid electricity,Sep ’12,San Francisco,Renewable Energies,lumeter.net,1-10,-,-
Kili,https://angel.co/company/kili,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/221187-976f08ab371502d526991d8454f8ff0d-medium_jpg.jpg?buster=1382691260",Public Cloud for Africa,Jun ’13,Nairobi,Cloud Infrastructure,kili.io,1-10,Seed,"$100,000"
EveryLayer,https://angel.co/company/everylayer,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/259897-07544feb38f43c42cbea4708874fe18e-medium_jpg.jpg?buster=1424220037","Faster, Better, Cheaper Broadband. Everywhere.",Sep ’13,San Francisco,Emerging Markets,everylayer.com,1-10,-,-
BRCK,https://angel.co/company/brck,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/273232-6e2d5fc2ce6f6bb14458bb6dde1cc5e0-medium_jpg.jpg?buster=1384349831",Internet for emerging markets,Oct ’13,Nairobi,Consumer Electronics,brck.com,11-50,Series A,-
Aza Finance,https://angel.co/company/bitpesa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/304120-21650d85a8cc35ee3589e4e313918191-medium_jpg.jpg?buster=1572344885",Cross-border Fintech|Pan-Africa & Europe Hybrid Financial Infrastructure,Dec ’13,London,East Africa,azafinance.com,51-200,Series A,"$8,200,000"
OkHi,https://angel.co/company/okhi,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/414578-3065e9286004a1143323a9fd8e5c00e4-medium_jpg.jpg?buster=1402321290",Addressing Emerging Markets,Jun ’14,London,Logistics,okhi.com,,Seed,"$325,000"
Kudobuzz,https://angel.co/company/kudobuzz-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/469042-779144b23e75b01915d0dfb8729895aa-medium_jpg.jpg?buster=1559111462",Helping SMBs ecommerce merchants increase their sales with smart marketing tools,Aug ’14,Accra,Reviews and Recommendations,kudobuzz.com,11-50,Seed,"$90,000"
Lendable,https://angel.co/company/lendable,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/517547-90f38e00950b66eeda334e897661ad2b-medium_jpg.jpg?buster=1496164990",Making developing world consumer debt an investable asset class.,Oct ’14,Nairobi,Financial Technology,lendable.io,11-50,Seed,"$2,500,000"
Ajua,https://angel.co/company/ajua,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/737400-cef1805527e78d8187c1fdf8d61e98a0-medium_jpg.jpg?buster=1565855345",Using data to understand and engage customers,Jun ’15,San Francisco,South East Asia,ajua.com,51-200,-,-
Bamba,https://angel.co/company/bamba,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/746236-eede3bd235d51215648d4ad099b3f2ff-medium_jpg.jpg?buster=1460135528",A real-time data gathering platform to engage the 1.5B people in the emerging markets,Aug ’15,Austin,Market Research,bambagroup.com,11-50,Seed,"$1,100,000"
OneUni,https://angel.co/company/oneuni,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/845667-1f32faf7d21de2010c423113c48aef9f-medium_jpg.jpg?buster=1470354722",Smartphone-Based Degrees From Top Universities,May ’17,Oakland,Higher Education,oneuni.co,11-50,Seed,"$3,500,000"
iHub,https://angel.co/company/ihub,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/59195-616a3a4e1376d72fb32c802bac36afc8-medium_jpg.jpg?buster=1380699365",Nairobi's innovation and technology hub,Oct ’13,Nairobi,Startups,ihub.co.ke,11-50,-,-
Hotels.ng,https://angel.co/company/hotels-ng,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/64980-a2d1557b2a6fde5f06ed824f35b61f3d-medium_jpg.jpg?buster=1377640674",,Jan ’12,Lagos,Hospitality,hotels.ng,51-200,Series A,"$1,425,000"
FlashCast Ventures,https://angel.co/company/flashcast-ventures,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/98129-6e79210df53ba1404514e0bc743dc560-medium_jpg.jpg?buster=1391437286",A Transit-Based AdWords for the African mass market.,Jun ’12,Nairobi,Transportation,flashca.st,1-10,Seed,"$30,000"
Buni.tv,https://angel.co/company/buni-tv,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/99795-917bb457308cb83f54cef4d9533b3a94-medium_jpg.jpg?buster=1408651981",Leading African VOD platform,Jun ’12,Nairobi,Video Streaming,buni.tv,,-,-
Human Electric,https://angel.co/company/humanelectric,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/124537-f25ffee4bdd3b26dfc74ab07c9942d9c-medium_jpg.jpg?buster=1571319748",Internet of Things(IoT) Design Lab,Oct ’13,Fort Walton Beach,Internet of Things,humanelectric.co,1-10,-,-
88mph,https://angel.co/company/88mph,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/171897-0e826b7bcb15e2d5f4bd6f1db1699d13-medium_jpg.jpg?buster=1361410098",Investor in early stage mobile-web companies in the African market.,Feb ’13,Nairobi,East Africa,88mph.ac,1-10,-,-
Ecademy Africa,https://angel.co/company/ecademy-africa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/183966-3cfca44ca445dfe4c5dd83d53b35d81c-medium_jpg.jpg?buster=1363583482",eLearning for high schools in Kenya,Mar ’13,Nairobi,Education,eshule.com,-,-,-
Reliefwatch,https://angel.co/company/reliefwatch,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/274020-133e6248a09c875a5b15fb586259828d-medium_jpg.jpg?buster=1415052583",Mobile system for tracking supplies in the developing world,Oct ’13,Chicago,Distribution,reliefwatch.com,1-10,Seed,"$725,000"
Angani,https://angel.co/company/angani,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/274141-a8586c7bc97ce14a1854e196d3660fb6-medium_jpg.jpg?buster=1407442670",Public cloud in Africa,Aug ’14,Kenya,East Africa,angani.co,1-10,Seed,-
Mdundo,https://angel.co/company/mdundo,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/275400-b674fa2cf3b177fa41eb1b44331aa8a5-medium_jpg.jpg?buster=1569079252",Music service tailored to Africa's 200m internet users,Oct ’13,Tallinn,East Africa,mdundo.com,11-50,-,-
Zatiti,https://angel.co/company/zatiti,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/295636-a120a4e37157f2f6420ed993442716b3-medium_jpg.jpg?buster=1384638995",Mobile commerce website builder,Jun ’14,Nairobi,Mobile Commerce,zatiti.com,1-10,-,-
SureBids,https://angel.co/company/surebids,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/307343-223d61815d036501dff18bbc314e5175-medium_jpg.jpg?buster=1468448322",Building the gift card market in Africa.,Apr ’14,Lagos,Gift Card,surebids.co,11-50,Seed,"$325,000"
Maisha Meds,https://angel.co/company/maishameds,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/505946-1e41326b3efe666cd24eb642b8b45d76-medium_jpg.jpg?buster=1477506002",Technology advancing primary care in East Africa,Apr ’15,Kisumu,East Africa,maishameds.org,11-50,-,-
Spire,https://angel.co/company/spire-4,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/544411-8e3432e4830bb8acbd5feb766307a5f3-medium_jpg.jpg?buster=1417057051",Reimagining higher education,Nov ’14,Nairobi,International Development,spire.is,11-50,-,-
Bitsoko,https://angel.co/company/bitsoko-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/565249-42b1510832bf7bc779e95bcf66c92c17-medium_jpg.jpg?buster=1419789632",A mobile wallet that enables users buy goods and services using digital currencies,Jan ’15,Nairobi,Mobile Commerce,bitsoko.co.ke,-,-,-
Djuaji,https://angel.co/company/djuaji,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/611719-aafda16264a3e861564fb1a94644cde7-medium_jpg.jpg?buster=1554235002",Low cost business intelligence through mobile technology in Africa.,Feb ’15,Lagos,-,djuaji.co,1-10,Seed,"$30,000"
Branch,https://angel.co/company/branch,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/655428-0c93d7b1b0972fdc10073c42049ec0d3-medium_jpg.jpg?buster=1545329987","Financial Access. Anytime, anywhere.",Mar ’15,San Francisco,Emerging Markets,branch.co,51-200,Series B,"$79,200,000"
SafeBoda,https://angel.co/company/safeboda-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/665817-3ab07c3f036393aeae24e2e251797499-medium_jpg.jpg?buster=1527770316",,Apr ’15,Kampala,Mobile Payments,safeboda.com,51-200,-,-
ViPi Kenya,https://angel.co/company/vipi-kenya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/701825-57e3eaa3ea5b43534b6ea20cf3e99a5e-medium_jpg.jpg?buster=1433108650",,May ’15,Nairobi,Education,vipikenya.org,,-,-
M-KOPA,https://angel.co/company/m-kopa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/914362-edb890235fa7c27c50b1a8d083f48c71-medium_jpg.jpg?buster=1447677975",Power for everyone,Nov ’15,Nairobi,Clean Energy,m-kopa.com,-,-,-
Dinero,https://angel.co/company/dinero-social-savings-system,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/131897-042f6141f5e037950c22de3a761e6a15-medium_jpg.jpg?buster=1376376794",Manage your savings group on the phone.,Oct ’13,Nairobi,East Africa,dinero.sc,1-10,Seed,"$98,000"
Komaza,https://angel.co/company/komaza,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/176216-9a3ae4c0065945ff0a19da10701d36c9-medium_jpg.jpg?buster=1495979689",The new face of African forestry,May ’17,Palo Alto,Wood,komaza.com,201-500,Series A,"$7,700,000"
Code for Africa,https://angel.co/company/code-for-africa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/207095-040a0ce9a1b647967d2015b3ff7ae9f8-medium_jpg.jpg?buster=1368269095",Using the power of data to help citizens hold government and corporations accountable.,May ’13,Nairobi,Journalism,github.com,11-50,-,-
DreamAfrica (A Pearl Dream app),https://angel.co/company/the-pearl-dream-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/289061-011b8192278fdc696d7f208d9138f044-medium_jpg.jpg?buster=1439297524",A subscription platform of African stories for children.,Nov ’13,New York City,Edutainment,wedreamafrica.co,1-10,-,-
TaroWorks,https://angel.co/company/taroworks,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/381143-20b349985b6610bf65ae78bb0af3e7a6-medium_jpg.jpg?buster=1397618710",Offline mobile field service app for remote agents in the emerging markets,Apr ’14,San Francisco,Nonprofits,taroworks.org,1-10,-,-
Moringa School,https://angel.co/company/moringa-school-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/700093-3dc369154cda820b88fe25abfdff463c-medium_jpg.jpg?buster=1431683203",Technology Education for Emerging Markets,May ’15,Nairobi,Technical Continuing Education,moringaschool.com,1-10,-,-
Ona,https://angel.co/company/onaio,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/720074-f1343dbe864889c034e783cc7269e56c-medium_jpg.jpg?buster=1499979142",Ona is a social enterprise that builds the data infrastructure to drive change.,Jun ’15,Nairobi,Geospatial,ona.io,51-200,-,-
Jobartis,https://angel.co/company/jobartis-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/856970-2534bc7ff4c149ac06591eac7bf068a1-medium_jpg.jpg?buster=1443573947",Leading job board in Angola,Sep ’15,Luanda,South Africa,jobartis.com,,-,-
mookh.,https://angel.co/company/mookh,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/863398-caffce7e12774bef195bb759b8b6cd7c-medium_jpg.jpg?buster=1444044890","Stripe & shopify on steroids for Africa: buy & sell on Facebook, Instagram, Twitter!",Nov ’15,Lagos,Financial Services,mymookh.com,1-10,,"$53,000"
PayGo Energy,https://angel.co/company/paygo-energy,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/865249-3eed2ff92bca01e897633d09d533c9a4-medium_jpg.jpg?buster=1528274327",,Oct ’15,Nairobi,East Africa,paygoenergy.co,11-50,Seed,"$1,430,000"
BRCK Education,https://angel.co/company/brck-education,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/934710-433e2d1948f56b03b6544b079392d3a9-medium_jpg.jpg?buster=1449223790","Affordable digital access (hardware, software, connectivity & content) for Educaiton",Dec ’15,Nairobi,Emerging Markets,education.brck.com,11-50,-,-
Everwaters,https://angel.co/company/everwaters,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1124245-a2d1a8f995f19bbd3fe468d5321bcf96-medium_jpg.jpg?buster=1505465813","Everwaters sells high-quality, affordable consumer water filters in East Africa",Nov ’16,Nairobi,Emerging Markets,everwaters.io,1-10,-,-
Shortlist professionals,https://angel.co/company/shortlist-professionals,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1149205-482b30194d86db7391a3d7324c8b2f56-medium_jpg.jpg?buster=1466667315","The CV is dead, long live your career!",May ’16,Nairobi,Startups,shortlist.net,11-50,-,-
